id,name,brand,variant,category,price_in_usd
1201,Google Women's Microfleece Jacket Black,Google,XS,Uncategorized Items,75
1202,Google Women's Striped L/S,Google,MD,Apparel,29
1203,Google Jumbo Print Tee White,Google,XS,Apparel,29
1204,Stan and Friends Onesie Green,Google,3/6 MONTHS,Apparel,25
1205,Google Beekeepers Onesie Pink,Google,NEWBORN,Apparel,25
1206,Google Kirkland Campus Ladies Tee,Google,SM,Clearance,25
1211,Google NYC Campus Unisex Tee,Google,LG,Campus Collection,25
1214,Google Campus Bike Eco Tee Navy,Google,XS,Apparel,25
1224,Android Iconic Crewneck Sweatshirt,Android,XS,Apparel,55
1226,Google Heather Green Speckled Tee,Google,SM,Apparel,30
1228,Google Split Seam Tee Olive,Google,LG,Apparel,26
1229,Google Land & Sea Unisex Tee,Google,LG,Apparel,25
1230,Google Eco Tee Black,Google,LG,Apparel,22
1231,YouTube Standards Zip Hoodie Black,YouTube,XL,Apparel,60
1232,Google Dino Game Tee,Google,MD,Apparel,40
1235,Google Toddler Hero Tee Olive,Google,3T,Apparel,24
1237,Google Tee Blue,Google,XL,Uncategorized Items,22
1238,Google Women's Discovery Lt. Rain Shell,Google,LG,Apparel,88
1240,Google Unisex Pride Eco-Tee Black,Google,LG,Apparel,22
1241,Google Cambridge Campus Unisex Tee,Google,LG,Campus Collection,25
1242,Google Cambridge Campus Zip Hoodie,Google,LG,Campus Collection,58
1246,Google SF Campus Unisex Tee,Google,2XL,Clearance,25
1247,Google Sunnyvale Campus Unisex Tee,Google,XL,Campus Collection,25
1255,Google PNW Campus Unisex Tee,Google,MD,Clearance,25
1261,Google Women's Short Sleeve Hero Dark Grey,Google,LG,Apparel,19
1269,Google Women's Tech Fleece Vest Charcoal,Google,2XL,Apparel,79
1272,Android Garden Tee Orange,Android,LG,Apparel,29
1273,Flamingo and Friends Tee Blue,Google,XL,Apparel,29
1277,Google Tee Red,Google,LG,Clearance,22
1283,Google Women's Ringer Tee,Google,LG,Apparel,25
1284,YouTube Women's Favorite Tee White,YouTube,LG,Uncategorized Items,22
1285,Google Chicago Campus Zip Hoodie,Google,XL,Campus Collection,58
1286,Google Boulder Campus Zip Hoodie,Google,LG,Clearance,58
1287,Google Tee F/C Black,Google,XL,Uncategorized Items,22
1288,Google Youth F/C Pullover Hoodie,Google,MD,Apparel,40
1289,Google Women's Kirkland Pullover,Google,XS,Apparel,63
1290,Google Mountain View Campus Unisex Tee,Google,XL,Campus Collection,25
1292,Google NYC Campus Zip Hoodie,Google,MD,Campus Collection,58
1293,Google Austin Campus Unisex Tee,Google,XS,Campus Collection,25
1295,Google Cotopaxi Shell,Google,MD,Apparel,95
1296,Android Pocket Youth Tee Navy,Android,SM,Apparel,25
1297,Google Youth FC Longsleeve Charcoal,Google,SM,Apparel,30
1298,Android Pocket Youth Tee Green,Android,SM,Apparel,25
1299,Google Youth FC Zip Hoodie,Google,SM,Apparel,45
1301,Google Seaport Tote,Google,MD,New,60
1302,Google Pocket Tee Grey,Google,XL,Apparel,29
1315,Google Tee Dark Blue,Google,SM,Apparel,25
1316,Google Tonal Tee Coral,Google,MD,Uncategorized Items,22
1317,Google Mountain View Campus Zip Hoodie,Google,XS,Campus Collection,58
1318,Google LA Campus Ladies Tee,Google,SM,Clearance,25
1320,Google Tee Grey,Google,2XL,Uncategorized Items,22
1321,Google Youth Hero Tee Maroon,Google,SM,Apparel,24
1324,Google Cambridge Campus Ladies Tee,Google,MD,Campus Collection,25
1325,Google Seattle Campus Unisex Tee,Google,MD,Clearance,25
1326,Google Seattle Campus Ladies Tee,Google,MD,Clearance,25
1327,Google Austin Campus Ladies Tee,Google,LG,Campus Collection,25
1328,Android Pocket Tee Navy,Android,LG,Apparel,29
1330,Google Tee Mint Green,Google,XL,Apparel,25
1331,Google Youth Jumbo Print Tee White,Google,LG,Apparel,25
1332,Google Women's Black Tee,Google,XL,Apparel,22
1333,Google Women's Pride Eco-Tee Black,Google,XL,Apparel,22
1334,Google NYC Campus Ladies Tee,Google,LG,Campus Collection,25
1335,Google Sunnyvale Campus Zip Hoodie,Google,LG,Campus Collection,58
1336,Google PNW Campus Zip Hoodie,Google,LG,Clearance,58
1337,Google Men's Tech Fleece Vest Charcoal,Google,MD,Apparel,79
1338,Google Sherpa Vest Black,Google,MD,Apparel,79
1340,Google Kids Playful Tee,Google,XL,Google,25
1341,BLM Unisex Pullover Hoodie,Google,MD,Black Lives Matter,58
1343,Google PNW Campus Ladies Tee,Google,XL,Clearance,25
1344,Google Women's Tech Fleece Grey,Google,MD,Apparel,89
1345,Google Raincoat Navy,Google,MD,Apparel,120
1347,Stan and Friends Toddler Tee Green,Google,3T,Apparel,25
1349,Google LA Campus Zip Hoodie,Google,XL,Clearance,58
1353,Google Land & Sea French Terry Sweatshirt,Google,No options available,Shop by Brand,55
1356,Google Chicago Campus Ladies Tee,Google,LG,Campus Collection,25
1357,Google Women's Softshell Moss,Google,Choose Size,Apparel,99
1358,Google Kirkland Campus Unisex Tee,Google,3XL,Clearance,25
1359,Google Sunnyvale Campus Ladies Tee,Google,MD,Campus Collection,25
1360,Google Boulder Campus Unisex Tee,Google,LG,Clearance,25
1361,Google Men's Softshell Moss,Google,LG,Apparel,99
1362,Google Mountain View Campus Ladies Tee,Google,XL,Campus Collection,25
1364,Android Pocket Tee Green,Android,SM,Apparel,29
1365,Google Beekeepers Youth Tee Pink,Google,LG,Apparel,25
1366,Google Mountain View Tee Blue,Google,XL,Apparel,25
1367,Google Beekeepers Toddler Tee Pink,Google,2T,Apparel,25
1372,Google Land & Sea Unisex Tee,Google,No options available,Apparel,25
1373,Google 5K Run 2020 Unisex Tee,Google,MD,Apparel,22
1380,Google Boulder Campus Ladies Tee,Google,LG,Clearance,25
